id,seq
49,ClassDeclaration Modifier public Algo MethodDeclaration Modifier static public BasicType int lcm FormalParameter BasicType int a FormalParameter BasicType int b LocalVariableDeclaration BasicType long VariableDeclarator aa MethodInvocation Math Cast BasicType long MemberReference a abs LocalVariableDeclaration BasicType long VariableDeclarator bb MethodInvocation Math Cast BasicType long MemberReference b abs IfStatement BinaryOperation || BinaryOperation == MemberReference aa Literal 0 BinaryOperation == MemberReference bb Literal 0 ReturnStatement Literal 0 End LocalVariableDeclaration BasicType long VariableDeclarator x MemberReference aa VariableDeclarator y MemberReference bb WhileStatement BinaryOperation != MemberReference y Literal 0 BlockStatement LocalVariableDeclaration BasicType long VariableDeclarator t BinaryOperation % MemberReference x MemberReference y StatementExpression Assignment MemberReference x MemberReference y = StatementExpression Assignment MemberReference y MemberReference t = End LocalVariableDeclaration BasicType long VariableDeclarator res BinaryOperation * BinaryOperation / MemberReference aa MemberReference x MemberReference bb ReturnStatement Cast BasicType int MemberReference res
2,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int binary_search FormalParameter Modifier final BasicType int a FormalParameter BasicType int n FormalParameter BasicType int x IfStatement BinaryOperation || BinaryOperation == MemberReference a Literal null BinaryOperation <= MemberReference n Literal 0 ReturnStatement Literal - 1 End LocalVariableDeclaration BasicType int VariableDeclarator lo Literal 0 LocalVariableDeclaration BasicType int VariableDeclarator hi BinaryOperation - MethodInvocation Math MemberReference n MemberReference a length min Literal 1 WhileStatement BinaryOperation <= MemberReference lo MemberReference hi BlockStatement LocalVariableDeclaration BasicType int VariableDeclarator mid BinaryOperation + MemberReference lo BinaryOperation >>> BinaryOperation - MemberReference hi MemberReference lo Literal 1 LocalVariableDeclaration BasicType int VariableDeclarator v MemberReference ArraySelector MemberReference mid a IfStatement BinaryOperation < MemberReference v MemberReference x BlockStatement StatementExpression Assignment MemberReference lo BinaryOperation + MemberReference mid Literal 1 = IfStatement BinaryOperation > MemberReference v MemberReference x BlockStatement StatementExpression Assignment MemberReference hi BinaryOperation - MemberReference mid Literal 1 = BlockStatement ReturnStatement MemberReference mid End End End ReturnStatement Literal - 1
44,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int is_prime FormalParameter BasicType int n IfStatement BinaryOperation <= MemberReference n Literal 1 ReturnStatement Literal 0 End IfStatement BinaryOperation <= MemberReference n Literal 3 ReturnStatement Literal 1 End IfStatement BinaryOperation || BinaryOperation == BinaryOperation & MemberReference n Literal 1 Literal 0 BinaryOperation == BinaryOperation % MemberReference n Literal 3 Literal 0 ReturnStatement Literal 0 End LocalVariableDeclaration BasicType long VariableDeclarator i Literal 5 WhileStatement BinaryOperation <= BinaryOperation * MemberReference i MemberReference i MemberReference n BlockStatement IfStatement BinaryOperation || BinaryOperation == BinaryOperation % MemberReference n MemberReference i Literal 0 BinaryOperation == BinaryOperation % MemberReference n BinaryOperation + MemberReference i Literal 2 Literal 0 ReturnStatement Literal 0 End StatementExpression Assignment MemberReference i Literal 6 += End ReturnStatement Literal 1
131,ClassDeclaration Modifier public Algo MethodDeclaration Modifier static public BasicType long str_len FormalParameter BasicType char s IfStatement BinaryOperation || BinaryOperation == MemberReference s Literal null BinaryOperation == MemberReference s length Literal 0 ReturnStatement Literal 0L End IfStatement BinaryOperation == MemberReference ArraySelector Literal 0 s Literal '\0' ReturnStatement Literal 0L End ReturnStatement BinaryOperation + Literal 1L MethodInvocation MethodInvocation java.util.Arrays MemberReference s Literal 1 MemberReference s length copyOfRange str_len
24,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int is_non_decreasing FormalParameter BasicType int a FormalParameter BasicType int n IfStatement BinaryOperation <= MemberReference n Literal 1 ReturnStatement Literal 1 End IfStatement BinaryOperation < MemberReference ArraySelector BinaryOperation - MemberReference n Literal 1 a MemberReference ArraySelector BinaryOperation - MemberReference n Literal 2 a ReturnStatement Literal 0 End ReturnStatement MethodInvocation MemberReference a BinaryOperation - MemberReference n Literal 1 is_non_decreasing
8,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int binary_search FormalParameter BasicType int a FormalParameter BasicType int n FormalParameter BasicType int x LocalVariableDeclaration BasicType int VariableDeclarator l Literal 0 VariableDeclarator r BinaryOperation - MemberReference n Literal 1 WhileStatement BinaryOperation <= MemberReference l MemberReference r BlockStatement LocalVariableDeclaration BasicType int VariableDeclarator m BinaryOperation + MemberReference l BinaryOperation >>> BinaryOperation - MemberReference r MemberReference l Literal 1 LocalVariableDeclaration BasicType int VariableDeclarator v MemberReference ArraySelector MemberReference m a IfStatement BinaryOperation == MemberReference v MemberReference x ReturnStatement MemberReference m End IfStatement BinaryOperation < MemberReference v MemberReference x StatementExpression Assignment MemberReference l BinaryOperation + MemberReference m Literal 1 = StatementExpression Assignment MemberReference r BinaryOperation - MemberReference m Literal 1 = End End ReturnStatement Literal - 1
126,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int str_len FormalParameter ReferenceType String s IfStatement BinaryOperation == MemberReference s Literal null ReturnStatement Literal 0 End LocalVariableDeclaration BasicType int VariableDeclarator i Literal 0 VariableDeclarator n MethodInvocation s length WhileStatement BinaryOperation && BinaryOperation < MemberReference i MemberReference n BinaryOperation != MethodInvocation s MemberReference i charAt Literal '\0' StatementExpression MemberReference ++ i End ReturnStatement MemberReference i
46,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int is_prime FormalParameter BasicType int n IfStatement BinaryOperation <= MemberReference n Literal 1 ReturnStatement Literal 0 End IfStatement BinaryOperation <= MemberReference n Literal 3 ReturnStatement Literal 1 End IfStatement BinaryOperation || BinaryOperation == BinaryOperation % MemberReference n Literal 2 Literal 0 BinaryOperation == BinaryOperation % MemberReference n Literal 3 Literal 0 ReturnStatement Literal 0 End LocalVariableDeclaration BasicType long VariableDeclarator nn MemberReference n ForStatement ForControl VariableDeclaration BasicType long VariableDeclarator i Literal 5 BinaryOperation <= BinaryOperation * MemberReference i MemberReference i MemberReference nn Assignment MemberReference i Literal 6 += BlockStatement IfStatement BinaryOperation || BinaryOperation == BinaryOperation % MemberReference n MemberReference i Literal 0 BinaryOperation == BinaryOperation % MemberReference n BinaryOperation + MemberReference i Literal 2 Literal 0 ReturnStatement Literal 0 End End ReturnStatement Literal 1
10,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int gcd FormalParameter BasicType int a FormalParameter BasicType int b LocalVariableDeclaration BasicType long VariableDeclarator x MemberReference a LocalVariableDeclaration BasicType long VariableDeclarator y MemberReference b IfStatement BinaryOperation < MemberReference x Literal 0 StatementExpression Assignment MemberReference x MemberReference - x = End IfStatement BinaryOperation < MemberReference y Literal 0 StatementExpression Assignment MemberReference y MemberReference - y = End WhileStatement BinaryOperation != MemberReference y Literal 0 BlockStatement LocalVariableDeclaration BasicType long VariableDeclarator t BinaryOperation % MemberReference x MemberReference y StatementExpression Assignment MemberReference x MemberReference y = StatementExpression Assignment MemberReference y MemberReference t = End ReturnStatement Cast BasicType int MemberReference x
89,ClassDeclaration Algo MethodDeclaration Modifier static public BasicType int popcount_u32 FormalParameter BasicType int x IfStatement BinaryOperation == MemberReference x Literal 0 ReturnStatement Literal 0 End ReturnStatement BinaryOperation + Literal 1 MethodInvocation BinaryOperation & MemberReference x BinaryOperation - MemberReference x Literal 1 popcount_u32
