1	"class Algo {
public static int binary_search(int[] a, int n, int x) {
    if (a == null || n <= 0) return -1;
    int low = 0, high = Math.min(n, a.length) - 1;
    while (low <= high) {
        int mid = low + (high - low) / 2;
        int val = a[mid];
        if (val == x) return mid;
        if (val < x) low = mid + 1;
        else high = mid - 1;
    }
    return -1;
}
}
"
2	"class Algo {
public static int binary_search(final int[] a, int n, int x) {
    if (a == null || n <= 0) return -1;
    int lo = 0;
    int hi = Math.min(n, a.length) - 1;
    while (lo <= hi) {
        int mid = lo + ((hi - lo) >>> 1);
        int v = a[mid];
        if (v < x) {
            lo = mid + 1;
        } else if (v > x) {
            hi = mid - 1;
        } else {
            return mid;
        }
    }
    return -1;
}
}
"
3	"public class Algo {
    public static int binary_search(int[] a, int n, int x) {
        int low = 0, high = n - 1;
        while (low <= high) {
            int mid = low + (high - low) / 2;
            int val = a[mid];
            if (val == x) return mid;
            if (val < x) low = mid + 1;
            else high = mid - 1;
        }
        return -1;
    }
}
"
4	"public class Algo {
    public static int binary_search(int[] a, int n, int x) {
        int low = 0;
        int high = n - 1;
        while (low <= high) {
            int mid = low + (high - low) / 2;
            int v = a[mid];
            if (v == x) {
                return mid;
            } else if (v < x) {
                low = mid + 1;
            } else {
                high = mid - 1;
            }
        }
        return -1;
    }
}
"
5	"class Algo {
public static int binary_search(int[] a, int n, int x) {
    int lo = 0, hi = n - 1;
    while (lo <= hi) {
        int mid = lo + ((hi - lo) >>> 1);
        int val = a[mid];
        if (x < val) {
            hi = mid - 1;
        } else if (x > val) {
            lo = mid + 1;
        } else {
            return mid;
        }
    }
    return -1;
}
}
"
6	"class Algo {
public static int binary_search(final int[] a, int n, int x) {
    int lo = 0, hi = n - 1;
    while (lo <= hi) {
        int mid = lo + ((hi - lo) >>> 1);
        int v = a[mid];
        if (v < x) {
            lo = mid + 1;
        } else if (v > x) {
            hi = mid - 1;
        } else {
            return mid;
        }
    }
    return -1;
}
}
"
7	"class Algo {
public static int binary_search(int[] a, int n, int x) {
    java.util.function.IntBinaryOperator[] f = new java.util.function.IntBinaryOperator[1];
    f[0] = (lo, hi) -> {
        if (lo > hi) return -1;
        int mid = lo + ((hi - lo) >>> 1);
        if (a[mid] == x) return mid;
        return a[mid] < x ? f[0].applyAsInt(mid + 1, hi) : f[0].applyAsInt(lo, mid - 1);
    };
    return n <= 0 ? -1 : f[0].applyAsInt(0, n - 1);
}
}
"
8	"class Algo {
public static int binary_search(int[] a, int n, int x) {
    int l = 0, r = n - 1;
    while (l <= r) {
        int m = l + ((r - l) >>> 1);
        int v = a[m];
        if (v == x) return m;
        if (v < x) l = m + 1;
        else r = m - 1;
    }
    return -1;
}
}
"
9	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    while (y != 0) {
        long t = x % y;
        x = y;
        y = t;
    }
    if (x > Integer.MAX_VALUE) return Integer.MIN_VALUE;
    return (int) x;
}
}
"
10	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    while (y != 0) {
        long t = x % y;
        x = y;
        y = t;
    }
    return (int) x;
}
}
"
11	"class Algo {
public static int gcd(int a, int b) {
    int x = a;
    int y = b;
    while (y != 0) {
        int t = x % y;
        x = y;
        y = t;
    }
    return x < 0 ? -x : x;
}
}
"
