id,seq
73,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { size_t idx = 0 ; size_t step = 1 ; while ( step < n ) step < <= 1 ; while ( step > 0 ) { size_t next = idx + step ; if ( next <= n && a [ next - 1 ] < x ) { idx = next ; } step > >= 1 ; } return static_cast < int32_t > ( idx ) ; }"
16,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { long long x = a ; long long y = b ; if ( x < 0 ) x = - x ; if ( y < 0 ) y = - y ; if ( x == 0 ) return ( int32_t ) y ; if ( y == 0 ) return ( int32_t ) x ; while ( x != y ) { if ( x > y ) x - = y ; else y - = x ; } return ( int32_t ) x ; }"
81,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; int64_t sum = 0 ; int64_t min_prefix = 0 ; int64_t best = static_cast < int64_t > ( a [ 0 ] ) ; for ( size_t i = 0 ; i < n ; + + i ) { sum + = static_cast < int64_t > ( a [ i ] ) ; int64_t candidate = sum - min_prefix ; if ( candidate > best ) best = candidate ; if ( sum < min_prefix ) min_prefix = sum ; } return best ; }"
15,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { int64_t x = a ; int64_t y = b ; if ( x < 0 ) x = - x ; if ( y < 0 ) y = - y ; if ( x == 0 ) return ( int32_t ) y ; if ( y == 0 ) return ( int32_t ) x ; while ( x != y ) { if ( x > y ) { int64_t t = y ; while ( ( t < < 1 ) <= x ) t < <= 1 ; x - = t ; } else { int64_t t = x ; while ( ( t < < 1 ) <= y ) t < <= 1 ; y - = t ; } } return ( int32_t ) x ; }"
97,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t popcount_u32 ( uint32_t x ) { int32_t c = 0 ; while ( x ) { x & = x - 1 ; + + c ; } return c ; }
75,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { auto rec = [ a , x ] ( auto && self , size_t lo , size_t hi ) -> size_t { if ( lo >= hi ) return lo ; size_t mid = lo + ( hi - lo ) / 2 ; if ( a [ mid ] < x ) return self ( self , mid + 1 , hi ) ; return self ( self , lo , mid ) ; } ; return static_cast < int32_t > ( rec ( rec , 0 , n ) ) ; }"
68,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { if ( n == 0 ) return 0 ; if ( a [ 0 ] >= x ) return 0 ; size_t prev = 0 ; size_t bound = 1 ; while ( bound < n && a [ bound ] < x ) { prev = bound ; size_t next = bound < < 1 ; if ( next <= bound ) { bound = n ; break ; } bound = next ; } size_t left = prev ; size_t right = ( bound < n ) ? bound : ( n - 1 ) ; size_t ans = n ; size_t l = left , r = right ; while ( l <= r ) { size_t mid = l + ( ( r - l ) > > 1 ) ; if ( a [ mid ] >= x ) { ans = mid ; if ( mid == 0 ) break ; r = mid - 1 ; } else { l = mid + 1 ; } } return ( int32_t ) ans ; }"
20,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { uint32_t ua = a < 0 ? ( uint32_t ) ( - ( uint32_t ) a ) : ( uint32_t ) a ; uint32_t ub = b < 0 ? ( uint32_t ) ( - ( uint32_t ) b ) : ( uint32_t ) b ; if ( ua == 0 u ) return ( int32_t ) ub ; if ( ub == 0 u ) return ( int32_t ) ua ; unsigned shift = 0 ; while ( ( ( ua | ub ) & 1 u ) == 0 u ) { ua > >= 1 ; ub > >= 1 ; + + shift ; } while ( ( ua & 1 u ) == 0 u ) { ua > >= 1 ; } do { while ( ( ub & 1 u ) == 0 u ) { ub > >= 1 ; } if ( ua > ub ) { uint32_t t = ua ; ua = ub ; ub = t ; } ub - = ua ; } while ( ub != 0 u ) ; ua < <= shift ; return ( int32_t ) ua ; }"
8,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t binary_search ( const int32_t * a , size_t n , int32_t x ) { if ( n == 0 ) return - 1 ; long long low = 0 ; long long high = static_cast < long long > ( n ) - 1 ; while ( low <= high ) { long long mid = low + ( high - low ) / 2 ; int32_t val = a [ mid ] ; if ( val == x ) return static_cast < int32_t > ( mid ) ; if ( val < x ) { low = mid + 1 ; } else { high = mid - 1 ; } } return - 1 ; }"
91,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; struct Node { int64_t sum , pref , suf , ans ; } ; struct Solver { const int32_t * a ; Node solve ( size_t l , size_t r ) { if ( l + 1 == r ) { int64_t v = a [ l ] ; return { v , v , v , v } ; } size_t m = l + ( r - l ) / 2 ; Node L = solve ( l , m ) ; Node R = solve ( m , r ) ; Node res ; res . sum = L . sum + R . sum ; int64_t lp = L . sum + R . pref ; res . pref = L . pref > lp ? L . pref : lp ; int64_t rs = R . sum + L . suf ; res . suf = R . suf > rs ? R . suf : rs ; int64_t cross = L . suf + R . pref ; res . ans = L . ans ; if ( R . ans > res . ans ) res . ans = R . ans ; if ( cross > res . ans ) res . ans = cross ; return res ; } } solver { a } ; Node total = solver . solve ( 0 , n ) ; return total . ans ; }"
